Mã tỉnh thành,Tỉnh thành cũ,Tỉnh thành mới
1,Hà Nội,Hà Nội
2,TP. Hồ Chí Minh,TP. Hồ Chí Minh
3,Hải Phòng,Hải Phòng
4,Đà Nẵng,Đà Nẵng
5,Hà Giang,Tuyên Quang
6,Cao Bằng,Cao Bằng
7,Lai Châu,Lai Châu
8,Lào Cai,Lào Cai
9,Tuyên Quang,Tuyên Quang
10,Lạng Sơn,Lạng Sơn
11,Bắc Kạn,Thái Nguyên
12,Thái Nguyên,Thái Nguyên
13,Yên Bái,Lào Cai
14,Sơn La,Sơn La
15,Phú Thọ,Phú Thọ
16,Vĩnh Phúc,Phú Thọ
17,Quảng Ninh,Quảng Ninh
18,Bắc Giang,Bắc Ninh
19,Bắc Ninh,Bắc Ninh
21,Hải Dương,Hải Phòng
22,Hưng Yên,Hưng Yên
23,Hoà Bình,Phú Thọ
24,Hà Nam,Ninh Bình
25,Nam Định,Ninh Bình
26,Thái Bình,Hưng Yên
27,Ninh Bình,Ninh Bình
28,Thanh Hóa,Thanh Hóa
29,Nghệ An,Nghệ An
30,Hà Tĩnh,Hà Tĩnh
31,Quảng Bình,Quảng Trị
32,Quảng Trị,Quảng Trị
33,Thừa Thiên Huế,Huế
34,Quảng Nam,Đà Nẵng
35,Quảng Ngãi,Quảng Ngãi
36,Kon Tum,Quảng Ngãi
37,Bình Định,Gia Lai
38,Gia Lai,Gia Lai
39,Phú Yên,Đắk Lắk
40,Đắk Lắk,Đắk Lắk
41,Khánh Hòa,Khánh Hòa
42,Lâm Đồng,Lâm Đồng
43,Bình Phước,Đồng Nai
44,Bình Dương,TP. Hồ Chí Minh
45,Ninh Thuận,Khánh Hòa
46,Tây Ninh,Tây Ninh
47,Bình Thuận,Lâm Đồng
48,Đồng Nai,Đồng Nai
49,Long An,Tây Ninh
50,Đồng Tháp,Đồng Tháp
51,An Giang,An Giang
52,Bà Rịa - Vũng Tàu,TP. Hồ Chí Minh
53,Tiền Giang,Đồng Tháp
54,Kiên Giang,An Giang
55,Cần Thơ,Cần Thơ
56,Bến Tre,Vĩnh Long
57,Vĩnh Long,Vĩnh Long
58,Trà Vinh,Vĩnh Long
59,Sóc Trăng,Cần Thơ
60,Bạc Liêu,Cà Mau
61,Cà Mau,Cà Mau
62,Điện Biên,Điện Biên
63,Đắk Nông,Lâm Đồng
64,Hậu Giang,Cần Thơ
